Area,Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
Lao People's Democratic Republic,2017,104.21706641666668,102.43790574999998,-0.07117533333333334
Lao People's Democratic Republic,2018,105.50629300000001,104.52804133333332,1.2359161666666667
Lao People's Democratic Republic,2019,110.44332049999998,108.00104691666667,4.665818000000001
Lao People's Democratic Republic,2020,119.94956133333334,113.51349900000001,8.684701666666667
Lao People's Democratic Republic,2021,122.95973388888888,116.717249,3.0032816666666666
Malaysia,2000,62.27486716666667,71.39616666666667,
Malaysia,2001,62.70041199999999,72.40769633333333,0.6838949166666667
Malaysia,2002,63.14152574999999,73.71673566666665,0.7037986666666667
Malaysia,2003,63.98742599999998,74.52000925,1.3400846666666666
Malaysia,2004,65.39379999999998,75.57914075000001,2.1968986666666663
Malaysia,2005,67.76970825,77.82767375,3.6323453333333333
Malaysia,2006,70.05128866666668,80.63665783333333,3.370240666666667
Malaysia,2007,72.16909216666666,82.27144758333334,3.0210946666666665
Malaysia,2008,78.55638691666667,86.747658,8.832798416666666
Malaysia,2009,81.80933283333334,87.25366425,4.26261525
Malaysia,2010,83.78102066666666,88.66966233333333,2.409906916666667
Malaysia,2011,87.809827,91.48445516666668,4.806543083333334
Malaysia,2012,90.16985566666666,93.00636408333332,2.694544083333333
Malaysia,2013,93.38172899999999,94.96415958333336,3.5604490833333333
Malaysia,2014,96.50283241666665,97.94887391666667,3.3469289166666667
Malaysia,2015,100.00796433333333,100.01010008333333,3.6283317499999996
Malaysia,2016,103.876177,102.10087783333334,3.874704416666667
Malaysia,2017,108.212206,106.05340808333335,4.174879583333333
Malaysia,2018,109.67849600000001,106.99167241666667,1.3626737500000001
Malaysia,2019,111.48692033333333,107.70091141666664,1.6512072500000006
Malaysia,2020,112.904334,106.47451883333336,1.2711849999999998
Malaysia,2021,114.34292144444446,108.81994000000003,1.4378620000000002
Myanmar,2000,10.795567083333333,11.602793083333333,
Myanmar,2001,11.796991583333332,14.051133916666666,9.323590250000002
Myanmar,2002,17.4717005,22.070749916666667,47.40249941666665
Myanmar,2003,25.688701249999998,30.149242333333333,48.259490416666665
Myanmar,2004,29.444192916666665,31.513275916666668,15.472116666666667
Myanmar,2005,31.086035500000005,34.4656345,5.568461250000001
