Area,Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
Brunei Darussalam,2000,89.31218899999999,95.14298200000002,
Brunei Darussalam,2001,89.91182149999999,95.70993016666664,0.671642
Brunei Darussalam,2002,90.28605766666668,93.49427166666668,0.4162976666666667
Brunei Darussalam,2003,90.03375899999999,93.74358966666667,-0.27912608333333333
Brunei Darussalam,2004,90.48588699999999,94.53049983333334,0.5037815833333333
Brunei Darussalam,2005,91.39391066666667,95.71874583333334,1.0049734166666666
Brunei Darussalam,2006,91.74807783333331,95.8654059166667,0.3875989166666667
Brunei Darussalam,2007,92.94998475000001,96.79159549999999,1.3095505
Brunei Darussalam,2008,96.40876408333334,98.81056108333333,3.7160902500000006
Brunei Darussalam,2009,99.14245941666668,99.83239858333332,2.8541022500000004
Brunei Darussalam,2010,99.21583650000001,100.05916750000002,0.07424916666666667
Brunei Darussalam,2011,99.22505816666667,100.19716058333334,0.009298833333333334
Brunei Darussalam,2012,99.22359833333333,100.30914741666668,-0.0015004166666666666
Brunei Darussalam,2013,99.32808341666667,100.69955566666668,0.10574416666666665
Brunei Darussalam,2014,99.10505825,100.49099808333331,-0.22458291666666666
Brunei Darussalam,2015,100.00077550000002,100.00025283333332,0.9061280833333334
Brunei Darussalam,2016,99.4878589166667,99.72155874999999,-0.509942
Brunei Darussalam,2017,99.76254100000001,98.46456308333332,0.280608
Brunei Darussalam,2018,101.66450108333332,99.47387575,1.9140986666666662
Brunei Darussalam,2019,100.95014375000001,99.08540849999999,-0.7024511666666666
Brunei Darussalam,2020,103.48012225000001,101.00798225,2.509169583333333
Brunei Darussalam,2021,105.49017777777776,102.4327598888889,2.367075222222222
Cambodia,2000,36.10881783333333,51.938864833333334,
Cambodia,2001,38.818498749999996,51.60293158333334,7.617519666666666
Cambodia,2002,39.83047133333333,51.712054583333334,2.633175
Cambodia,2003,40.375958499999996,52.19905074999999,1.4036868333333334
Cambodia,2004,43.55421175000001,54.45370375000001,7.862858166666666
Cambodia,2005,47.720583000000005,58.055957250000006,9.584247416666667
Cambodia,2006,51.38666741666666,61.4294065,7.812020749999999
Cambodia,2007,58.53134416666668,66.77918758333334,13.78019725
Cambodia,2008,77.86229591666667,82.87086950000001,33.628242666666665
Cambodia,2009,77.02883683333333,81.84184741666667,-0.7937115833333331
Cambodia,2010,80.3203775,85.11257116666668,4.34402925
Cambodia,2011,85.52864941666667,89.77541874999999,6.474133583333334
Cambodia,2012,88.23971300000001,92.40971325,3.2437319166666665
Cambodia,2013,91.66408266666667,95.12806049999999,3.8704925000000006
Cambodia,2014,96.144921,98.79590216666668,4.905246833333333
Cambodia,2015,100.01284533333332,100.00509691666666,4.0260117499999994
Cambodia,2016,105.606004,103.02439058333334,5.587769916666667
Cambodia,2017,109.18388800000002,106.02511558333333,3.4169260000000006
Cambodia,2018,111.86396708333336,108.6323635,2.4547404166666666
Cambodia,2019,114.18010925,110.74262849999998,2.070483249999999
Cambodia,2020,119.48582441666667,113.99878883333334,4.644016333333334
Cambodia,2021,122.2143828888889,116.63242722222223,2.913682111111111
Indonesia,2000,27.47263975,33.26962083333333,
Indonesia,2001,29.788411166666666,37.095665833333335,8.468477583333332
Indonesia,2002,33.013109750000005,41.510091666666675,10.878485416666665
Indonesia,2003,33.37113183333333,44.31506083333333,1.1046665833333333
Indonesia,2004,35.33716166666667,47.00235249999999,5.929216833333332
Indonesia,2005,38.97699958333333,51.915603333333344,10.289273083333335
Indonesia,2006,44.76539566666667,58.72105000000001,14.993463666666663
Indonesia,2007,49.667219499999995,62.483048333333336,10.969682416666666
